Steganography Report CS426
Siri Siqveland -- Final Project
Post-Steganography Collected Data in Table Below:
Steg Tool       |Input Img Name                | Contained file? | Hidden File Name 
zsteg           | Img19.jpg                      | N          | Skipped
zsteg           | Img2.jpg                       | N          | Skipped
zsteg           | Img20.jpg                      | N          | Skipped
zsteg           | Img21.jpeg                     | N          | Skipped
zsteg           | Img22.jpeg                     | N          | Skipped
zsteg           | Img23.jpeg                     | N          | Skipped
zsteg           | Img24.jpeg                     | N          | Skipped
zsteg           | Img25.bmp                      | Y          | Img25_Z-Dec.bin
zsteg           | Img26.bmp                      | Y          | Img26_Z-Dec.bin
zsteg           | Img27.png                      | Y          | Img27_Z-Dec.bin
zsteg           | Img28.jpeg                     | N          | Skipped
zsteg           | Img29.bmp                      | Y          | Img29_Z-Dec.bin
zsteg           | Img3.jpg                       | N          | Skipped
zsteg           | Img30.bmp                      | Y          | Img30_Z-Dec.bin
zsteg           | Img31.bmp                      | Y          | Img31_Z-Dec.bin
zsteg           | Img32.bmp                      | Y          | Img32_Z-Dec.bin
zsteg           | Img33.png                      | Y          | Img33_Z-Dec.bin
zsteg           | Img34.png                      | Y          | Img34_Z-Dec.bin
zsteg           | Img35.png                      | Y          | Img35_Z-Dec.bin
zsteg           | Img36.png                      | Y          | Img36_Z-Dec.bin
zsteg           | Img37.jpeg                     | N          | Skipped
zsteg           | Img38.jpeg                     | N          | Skipped
zsteg           | Img39.jpeg                     | N          | Skipped
zsteg           | Img4.jpg                       | N          | Skipped
zsteg           | Img40.jpeg                     | N          | Skipped
zsteg           | Img41.png                      | Y          | Img41_Z-Dec.bin
zsteg           | Img42.png                      | Y          | Img42_Z-Dec.bin
zsteg           | Img43.png                      | Y          | Img43_Z-Dec.bin
zsteg           | Img44.png                      | Y          | Img44_Z-Dec.bin
zsteg           | Img45.bmp                      | Y          | Img45_Z-Dec.bin
zsteg           | Img46.bmp                      | Y          | Img46_Z-Dec.bin
zsteg           | Img47.png                      | Y          | Img47_Z-Dec.bin
zsteg           | Img48.png                      | Y          | Img48_Z-Dec.bin
zsteg           | Img49.bmp                      | Y          | Img49_Z-Dec.bin
zsteg           | Img5.bmp                       | Y          | Img5_Z-Dec.bin
zsteg           | Img50.bmp                      | Y          | Img50_Z-Dec.bin
zsteg           | Img51.bmp                      | Y          | Img51_Z-Dec.bin
zsteg           | Img52.bmp                      | Y          | Img52_Z-Dec.bin
zsteg           | Img53.png                      | Y          | Img53_Z-Dec.bin
zsteg           | Img54.png                      | Y          | Img54_Z-Dec.bin
zsteg           | Img55.png                      | Y          | Img55_Z-Dec.bin
zsteg           | Img56.png                      | Y          | Img56_Z-Dec.bin
zsteg           | Img57.png                      | Y          | Img57_Z-Dec.bin
zsteg           | Img58.png                      | Y          | Img58_Z-Dec.bin
zsteg           | Img59.png                      | Y          | Img59_Z-Dec.bin
zsteg           | Img6.bmp                       | Y          | Img6_Z-Dec.bin
zsteg           | Img60.png                      | Y          | Img60_Z-Dec.bin
zsteg           | Img7.png                       | Y          | Img7_Z-Dec.bin
zsteg           | Img8.jpg                       | N          | Skipped
zsteg           | Img9.bmp                       | Y          | Img9_Z-Dec.bin
